"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Attacking First Team Number","Team 1 Score","Team 2 Score","Team 1 Score At Half","Team 2 Score At Half","Team 1 Pistol Wins","Team 1 Attacking Pistol Wins","Team 1 Defending Pistol Wins","Team 1 Attacking Wins","Team 1 Attacking Losses","Team 1 Defending Wins","Team 1 Defending Losses","Team 2 Pistol Wins","Team 2 Attacking Pistol Wins","Team 2 Defending Pistol Wins","Team 2 Attacking Wins","Team 2 Attacking Losses","Team 2 Defending Wins","Team 2 Defending Losses","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Team 1 Agents","Team 2 Agents","Total Count"
114166,50534,"VALORANT Champions Tour 2023: Americas League - Playoffs","Fracture",6344,"LOUD",116,"NRG Esports",2,13,11,5,7,1,1,0,8,4,5,7,1,1,0,7,5,4,8,"standard","2023-05-28T00:00:00.000Z","[16804,4746,1506,2895,4748]","[2841,3211,165,3043,2483]","Breach,Viper,Omen,KAY/O,Neon","Breach,Killjoy,Brimstone,Jett,Skye",139
114165,50534,"VALORANT Champions Tour 2023: Americas League - Playoffs","Bind",6344,"LOUD",116,"NRG Esports",2,13,11,6,6,2,1,1,7,5,6,6,0,0,0,6,6,5,7,"standard","2023-05-28T00:00:00.000Z","[4748,4746,1506,16804,2895]","[3211,2841,3043,2483,165]","Raze,Viper,Brimstone,Skye,Chamber","Raze,Viper,Sage,Skye,Harbor",139
114164,50534,"VALORANT Champions Tour 2023: Americas League - Playoffs","Ascent",6344,"LOUD",116,"NRG Esports",1,13,9,5,7,2,1,1,5,7,8,2,0,0,0,2,8,7,5,"standard","2023-05-28T00:00:00.000Z","[16804,4746,1506,4748,2895]","[2483,2841,165,3043,3211]","Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O",139
114172,50535,"VALORANT Champions Tour 2023: Americas League - Playoffs","Split",1448,"Evil Geniuses",116,"NRG Esports",2,4,13,1,11,1,1,0,3,2,1,11,1,1,0,11,1,2,3,"standard","2023-05-27T00:00:00.000Z","[4157,2882,23845,10253,1023]","[3211,2841,3043,2483,165]","Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra",139
114171,50535,"VALORANT Champions Tour 2023: Americas League - Playoffs","Lotus",1448,"Evil Geniuses",116,"NRG Esports",2,10,13,7,5,0,0,0,3,8,7,5,2,1,1,5,7,8,3,"standard","2023-05-27T00:00:00.000Z","[2882,1023,4157,23845,10253]","[3043,2841,165,2483,3211]","Breach,Killjoy,Omen,Jett,Skye","Killjoy,Viper,Omen,Skye,Neon",139
114170,50535,"VALORANT Champions Tour 2023: Americas League - Playoffs","Ascent",1448,"Evil Geniuses",116,"NRG Esports",1,8,13,3,9,0,0,0,3,9,5,4,2,1,1,4,5,9,3,"standard","2023-05-27T00:00:00.000Z","[2882,1023,4157,23845,10253]","[2483,2841,165,3043,3211]","Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O",139
114169,50535,"VALORANT Champions Tour 2023: Americas League - Playoffs","Haven",1448,"Evil Geniuses",116,"NRG Esports",2,13,11,7,5,2,1,1,6,6,7,5,0,0,0,5,7,6,6,"standard","2023-05-27T00:00:00.000Z","[10253,2882,1023,23845,4157]","[3211,2841,3043,2483,165]","Breach,Sova,Killjoy,Jett,Astra","Killjoy,Viper,Jett,Skye,Harbor",139
114174,50474,"VALORANT Champions Tour 2023: Americas League - Playoffs","Haven",141,"Cloud9",116,"NRG Esports",2,12,14,6,6,2,1,1,6,7,6,7,0,0,0,7,6,7,6,"standard","2023-05-27T00:00:00.000Z","[440,15282,13591,5582,3599]","[3211,2841,3043,2483,165]","Breach,Sova,Killjoy,Omen,Jett","Killjoy,Viper,Jett,Skye,Harbor",139
113981,50474,"VALORANT Champions Tour 2023: Americas League - Playoffs","Lotus",141,"Cloud9",116,"NRG Esports",2,9,13,5,7,1,0,1,4,6,5,7,1,0,1,7,5,6,4,"standard","2023-05-27T00:00:00.000Z","[440,15282,5582,13591,3599]","[3043,2841,165,2483,3211]","Killjoy,Viper,Omen,Skye,Neon","Killjoy,Viper,Omen,Skye,Neon",139
113980,50474,"VALORANT Champions Tour 2023: Americas League - Playoffs","Pearl",141,"Cloud9",116,"NRG Esports",1,13,10,5,7,1,0,1,5,7,8,3,1,0,1,3,8,7,5,"standard","2023-05-26T00:00:00.000Z","[15282,5582,3599,13591,440]","[3211,2841,3043,2483,165]","Killjoy,Viper,Jett,Skye,Harbor","Killjoy,Viper,Jett,Skye,Harbor",139
113507,50235,"VALORANT Champions Tour 2023: Americas League - Playoffs","Bind",6344,"LOUD",1448,"Evil Geniuses",1,13,3,10,2,1,1,0,10,2,3,1,1,1,0,1,3,2,10,"standard","2023-05-26T00:00:00.000Z","[4748,4746,1506,16804,2895]","[4157,2882,23845,10253,1023]","Raze,Viper,Brimstone,Skye,Chamber","Raze,Viper,Jett,Skye,Astra",139
113506,50235,"VALORANT Champions Tour 2023: Americas League - Playoffs","Ascent",6344,"LOUD",1448,"Evil Geniuses",1,11,13,7,5,1,1,0,7,5,4,8,1,1,0,8,4,5,7,"standard","2023-05-26T00:00:00.000Z","[16804,4746,1506,4748,2895]","[2882,1023,4157,23845,10253]","Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O",139
113505,50235,"VALORANT Champions Tour 2023: Americas League - Playoffs","Fracture",6344,"LOUD",1448,"Evil Geniuses",1,13,9,7,5,0,0,0,7,5,6,4,2,1,1,4,6,5,7,"standard","2023-05-26T00:00:00.000Z","[16804,4746,1506,2895,4748]","[10253,4157,2882,1023,23845]","Breach,Viper,Omen,KAY/O,Neon","Breach,Raze,Sova,Killjoy,Brimstone",139
113166,49998,"VALORANT Champions Tour 2023: Americas League - Playoffs","Ascent",141,"Cloud9",738,"Leviatán",1,13,4,8,4,2,1,1,8,4,5,0,0,0,0,0,5,4,8,"standard","2023-05-26T00:00:00.000Z","[440,15282,5582,3599,13591]","[2752,21588,4710,3532,6414]","Killjoy,Viper,Omen,Jett,Skye","Sova,Killjoy,Omen,Jett,KAY/O",139
113165,49998,"VALORANT Champions Tour 2023: Americas League - Playoffs","Lotus",141,"Cloud9",738,"Leviatán",1,10,13,6,6,0,0,0,6,6,4,7,2,1,1,7,4,6,6,"standard","2023-05-25T00:00:00.000Z","[440,15282,5582,13591,3599]","[3532,21588,6414,4710,2752]","Killjoy,Viper,Omen,Skye,Neon","Raze,Killjoy,Viper,Omen,Skye",139
113164,49998,"VALORANT Champions Tour 2023: Americas League - Playoffs","Haven",141,"Cloud9",738,"Leviatán",1,13,8,9,3,2,1,1,9,3,4,5,0,0,0,5,4,3,9,"standard","2023-05-25T00:00:00.000Z","[440,15282,13591,5582,3599]","[21588,6414,3532,2752,4710]","Breach,Sova,Killjoy,Omen,Jett","Killjoy,Viper,Jett,Skye,Harbor",139
113168,49999,"VALORANT Champions Tour 2023: Americas League - Playoffs","Haven",1264,"FURIA",116,"NRG Esports",2,10,13,7,5,1,0,1,3,8,7,5,1,0,1,5,7,8,3,"standard","2023-05-25T00:00:00.000Z","[2749,2423,6038,81,6039]","[3211,2841,3043,2483,165]","Killjoy,Viper,Jett,Skye,Harbor","Killjoy,Viper,Jett,Skye,Harbor",139
113167,49999,"VALORANT Champions Tour 2023: Americas League - Playoffs","Bind",1264,"FURIA",116,"NRG Esports",1,9,13,2,10,1,0,1,2,10,7,3,1,0,1,3,7,10,2,"standard","2023-05-25T00:00:00.000Z","[81,2423,2749,6038,6039]","[3211,2841,3043,2483,165]","Raze,Viper,Brimstone,Jett,Skye","Raze,Viper,Sage,Skye,Harbor",139
112520,49629,"VALORANT Champions Tour 2023: Americas League - Playoffs","Bind",141,"Cloud9",1448,"Evil Geniuses",1,2,13,2,10,0,0,0,2,10,0,3,2,1,1,3,0,10,2,"standard","2023-05-24T00:00:00.000Z","[440,15282,5582,3599,13591]","[4157,2882,23845,10253,1023]","Raze,Viper,Brimstone,Jett,Skye","Raze,Viper,Jett,Skye,Astra",139
112519,49629,"VALORANT Champions Tour 2023: Americas League - Playoffs","Fracture",141,"Cloud9",1448,"Evil Geniuses",1,5,13,4,8,0,0,0,4,8,1,5,2,1,1,5,1,8,4,"standard","2023-05-24T00:00:00.000Z","[15282,13591,440,5582,3599]","[10253,4157,2882,1023,23845]","Breach,Raze,Killjoy,Brimstone,Skye","Breach,Raze,Sova,Killjoy,Brimstone",139
