"Player Id","Ign","Team"
24750,"오 잉","Not Decide"
13869,"태 훈","Cosmos"
16072,"태 훈 #죄","Team Vision"
22848,"박 봉 균","Team Inv"
22785,"Ａ Ｍ ＡＴＥＲＡＳＵ","JaiSlai"
22844,"저 아빠 있어요","Never Surrender"
22701,"거 도구좀 합시다","LEVEL UP"
4207,"헬 레이저 인민의 군주",""
13791,"삥빵 뽕",""
7471,"제트 고","Team Vice"
24763,"청아 나 죽어","Ambitious Gaming"
22822,"너랑 바라본","miracle victory"
9983,"제트 사용자","WOLFPACK"
18834,"칸나 카무이","FUG"
24716,"나만 잘하면 이긴다","MCC"
19163,"なさん","RaVe"
9714,"ひよこ","Cerberus E-Sports (BR)"
22767,"ナルト","Alternative"
20419,"バナナ","Intellectually Challenged Gamers"
13049,"バーン",""
13871,"レイズ","STZA"
22818,"강현아","nice try"
18841,"겸손한",""
23815,"나이라",""
24738,"다람좌","Imaginary Savior"
22832,"단하나","MCC"
24749,"때껄룩","Not Decide"
22728,"또잉또","No Smoke"
22812,"라우라","Acris Esports"
12063,"린지훈","Saber"
18862,"믐기도","레.스.고"
9806,"순풍맨",""
15776,"아이유","WHAAN WHAAN Esport"
22727,"왕구름","No Smoke"
22901,"워닝곰","1TK"
18917,"이거봐","CAL Golden Bears"
24744,"정태풍","Never Miss"
24561,"제이홉",""
8363,"ｈｚｎ","TROPA DO PHOTOSHOP"
22826,"비둘기 박","miracle victory"
22909,"이웃집 후추",""
24761,"사랑해 예원아","Ambitious Gaming"
24718,"준바의 자리를 탐하는자","MCC"
25026,"ซามะ","INTEND"
25245,"ฟาไถ","2V5"
6906,"มงคล","Genesis.VLR"
23135,"こころん","looking for a name"
15584,"だびたそ","Straight Warfare"
15565,"またきち","Geko Geko"
15644,"りーさん","NeoAimer"
25356,"アバスク","Kaizuka"
3706,"タイノコ","EGYX"
2869,"プライム","Space Cheaters"
15373,"골플다는","Tail Nine Esports"
18865,"농민봉기","VVS"
13998,"박사아들","sadHours"
22709,"심신미약","PC"
25399,"졸려시바","meowmies"
22708,"준또바기","PC"
18835,"형준이형","이사가자"
24745,"소영이의 개","Never Miss"
15551,"そうちゃん","Atsumatte Mita"
25076,"ですごっと","Savior e-sports"
18385,"ふらじろう","ほんとにぃ↑"
24543,"みなとねこ","TiAMAT"
25367,"ディーゼル","KRAKEN BLACK"
24742,"기특한하마","Never Miss"
3059,"맥아더제리","No Mercy"
12869,"토굴나는씨",""
22719,"이제중학생 잼민이탈출","Alpha Six Gaming"
15566,"ヨキジェット","Geko Geko"
6065,"レジリエンス","R6 Players"
22691,"힝구르르르르","KPZ"
6780,"ＥＳＴＨＥＲ","PasswordTodayDate"
527,"หมวงฟาง",""
265,"くりあくりーん","NEXUS (JP)"
23139,"にくまんやろー","SYSTEM e-Sports"
24689,"칙칙폭폭제임스","Team T5"
25123,"ねこがねころんだ","HOP gaming"
22791,"이토히로부비부빗",""
1885,"커여운애긔븝미짱","Team Rover"
282,"ちょーんぼらけっけ","Soabh"
24751,"무지성제트칼픽보면요루박음","Not Decide"
22718,"양로원홍삼캔디푸드파이터유창우","INS4NE"
24747,"역곡동최고의고졸백수돼지정지원","Not Decide"
25244,"ราฟาเอลงายยยยยยย","2V5"
24792,"ＳＳＳＳＳＳＳＳＳＳＳＳＳＳＳＳ","roar"
22500,"002","Lumsum"
8205,"002","Enigma (BR)"
7523,"007kof","Los buhos"
21402,"01000010",""
23633,"0101010101010101","Usepticals"
15754,"0327",""
3390,"04","kekW"
11850,"05C47",""
8682,"0 adr","16const"
24571,"0dd","FLEX"
16391,"0iqKid","Try to Hard"
18867,"0livertwix","Compromise"
5961,"0lleb4r","Bertzz+4"
22470,"0mbre","Dream Life Esport"
17163,"0n1y",""
522,"0ng0wa","Rainbow7"
473,"0nly","K7 Esports"
